"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 18 17:17:12 UTC 2025","Tue Nov 18 17:17:18 UTC 2025","5805","chromium","","Car Finding","","","Verify that user is able to find a car with valid information",""
"passed","Tue Nov 18 17:17:59 UTC 2025","Tue Nov 18 17:18:20 UTC 2025","20525","chromium","","User registration > Individual account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:19:37 UTC 2025","Tue Nov 18 17:19:40 UTC 2025","3551","firefox","","User registration > Individual account","","","Verify that validation error displays when user submits registration without entering Full Name",""
"passed","Tue Nov 18 17:17:48 UTC 2025","Tue Nov 18 17:17:52 UTC 2025","3806","chromium","","User registration > Corporate > New account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:18:34 UTC 2025","Tue Nov 18 17:18:40 UTC 2025","5427","firefox","","Static Pages","","","Verify that all footer links load successfully without errors",""
"passed","Tue Nov 18 17:20:38 UTC 2025","Tue Nov 18 17:20:51 UTC 2025","12594","webkit","","User registration > Corporate > New account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:20:24 UTC 2025","Tue Nov 18 17:20:31 UTC 2025","7170","webkit","","User registration > Corporate > Existing account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:19:12 UTC 2025","Tue Nov 18 17:19:17 UTC 2025","5131","firefox","","User registration > Corporate > New account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:18:27 UTC 2025","Tue Nov 18 17:18:34 UTC 2025","6634","firefox","","Car Finding","","","Verify that user is able to find a car with valid information",""
"passed","Tue Nov 18 17:20:56 UTC 2025","Tue Nov 18 17:21:05 UTC 2025","8849","webkit","","User registration > Corporate > New account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:19:33 UTC 2025","Tue Nov 18 17:19:36 UTC 2025","3813","firefox","","User registration > Individual account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:18:40 UTC 2025","Tue Nov 18 17:18:48 UTC 2025","7991","firefox","","User registration > Corporate > Existing account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:20:51 UTC 2025","Tue Nov 18 17:20:56 UTC 2025","5612","webkit","","User registration > Corporate > New account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:19:00 UTC 2025","Tue Nov 18 17:19:06 UTC 2025","6282","firefox","","User registration > Corporate > New account","","","Verify that user is able to register a new account with valid information",""
